gene_symbol,TCGA-91-6849-11A-01R-1949-07,TCGA-55-6982-11A-01R-1949-07,TCGA-73-4676-11A-01R-1755-07,TCGA-55-6980-11A-01R-1949-07,TCGA-50-5931-11A-01R-1858-07,TCGA-91-6828-11A-01R-1858-07,TCGA-49-6743-11A-01R-1858-07,TCGA-44-6147-11A-01R-1858-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4627-11A-01R-1758-07,TCGA-55-6970-11A-01R-1949-07,TCGA-50-5939-11A-01R-1628-07,TCGA-44-6778-11A-01R-1858-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4632-11A-01R-1755-07,TCGA-50-5933-11A-01R-1755-07,TCGA-55-6972-11A-01R-1949-07,TCGA-55-6985-11A-01R-1949-07,TCGA-49-6761-11A-01R-1949-07,TCGA-55-6984-11A-01R-1949-07,TCGA-44-6776-11A-01R-1858-07,TCGA-55-6975-11A-01R-1949-07,TCGA-55-6981-11A-01R-1949-07,TCGA-50-5935-11A-01R-1858-07,TCGA-44-2655-11A-01R-1758-07,TCGA-55-6979-11A-01R-1949-07,TCGA-44-2662-11A-01R-1758-07,TCGA-49-6744-11A-01R-1858-07,TCGA-49-6745-11A-01R-1858-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-6146-11A-01R-1858-07,TCGA-50-5930-11A-01R-1755-07,TCGA-44-2661-11A-01R-1758-07,TCGA-50-5936-11A-01R-1628-07,TCGA-44-5645-11A-01R-1628-07,TCGA-55-6971-11A-01R-1949-07,TCGA-44-3398-11B-01R-1758-07,TCGA-44-6144-11A-01R-1755-07,TCGA-44-6145-11A-01R-1858-07,TCGA-91-6829-11A-01R-1858-07,TCGA-91-6836-11A-01R-1858-07,TCGA-49-6742-11A-01R-1858-07,TCGA-55-6969-11A-01R-1949-07,TCGA-55-6986-11A-01R-1949-07,TCGA-38-4626-11A-01R-1758-07,TCGA-91-6847-11A-01R-1949-07,TCGA-49-4490-11A-01R-1858-07,TCGA-49-4512-11A-01R-1858-07,TCGA-91-6835-11A-01R-1858-07,TCGA-50-6595-11A-01R-1858-07,TCGA-55-6978-11A-01R-1949-07,TCGA-55-6983-11A-01R-1949-07,TCGA-91-6831-11A-02R-1858-07,TCGA-44-6777-11A-01R-1858-07,TCGA-55-6968-11A-01R-1949-07,TCGA-50-5932-11A-01R-1755-07,TCGA-44-6148-11A-01R-1858-07,TCGA-55-8513-01A-11R-2403-07,TCGA-97-8177-01A-11R-2287-07,TCGA-53-7626-01A-12R-2066-07,TCGA-91-8497-01A-11R-2403-07,TCGA-44-3919-01A-02R-1107-07,TCGA-99-7458-01A-11R-2039-07,TCGA-44-6146-01A-11R-A278-07,TCGA-55-8208-01A-11R-2241-07,TCGA-75-7030-01A-11R-1949-07,TCGA-86-8671-01A-11R-2403-07,TCGA-55-8087-01A-11R-2241-07,TCGA-S2-AA1A-01A-12R-A39D-07,TCGA-97-8174-01A-11R-2287-07,TCGA-97-7552-01A-11R-2039-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-MP-A4TJ-01A-51R-A262-07,TCGA-86-8668-01A-11R-2403-07,TCGA-55-7284-01B-11R-2241-07,TCGA-55-8206-01A-11R-2241-07,TCGA-93-A4JN-01A-11R-A24X-07,TCGA-05-5429-01A-01R-1628-07,TCGA-93-7348-01A-21R-2039-07,TCGA-55-8097-01A-11R-2241-07,TCGA-69-8254-01A-11R-2287-07,TCGA-05-4433-01A-22R-1858-07,TCGA-69-7761-01A-11R-2170-07,TCGA-97-A4M1-01A-11R-A24X-07,TCGA-86-8056-01A-11R-2241-07,TCGA-55-8619-01A-11R-2403-07,TCGA-55-8299-01A-11R-2287-07,TCGA-55-8207-01A-11R-2241-07,TCGA-55-A57B-01A-12R-A39D-07,TCGA-97-8172-01A-11R-2287-07,TCGA-55-7728-01A-11R-2187-07,TCGA-NJ-A55A-01A-11R-A262-07,TCGA-55-6987-01A-11R-1949-07,TCGA-86-8076-01A-31R-2241-07,TCGA-38-A44F-01A-11R-A24H-07,TCGA-05-4249-01A-01R-1107-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-75-7025-01A-12R-1949-07,TCGA-69-8453-01A-12R-2326-07,TCGA-55-8204-01A-11R-2241-07,TCGA-44-2657-01A-01R-1107-07,TCGA-67-4679-01B-01R-1755-07,TCGA-44-2661-01A-01R-1107-07,TCGA-55-A48X-01A-11R-A24H-07,TCGA-55-8512-01A-11R-2403-07,TCGA-93-7347-01A-11R-2187-07,TCGA-55-6971-01A-11R-1949-07,TCGA-64-1681-01A-11R-2066-07,TCGA-MP-A4TH-01A-31R-A262-07,TCGA-50-5942-01A-21R-1755-07,TCGA-L4-A4E6-01A-11R-A24H-07,TCGA-44-2666-01A-01R-0946-07,TCGA-05-4403-01A-01R-1206-07,TCGA-97-7553-01A-21R-2039-07,TCGA-55-6984-01A-11R-1949-07,TCGA-50-8459-01A-11R-2326-07,TCGA-97-7546-01A-11R-2039-07,TCGA-55-6983-01A-11R-1949-07,TCGA-97-7547-01A-11R-2039-07,TCGA-73-7498-01A-12R-2187-07,TCGA-55-7573-01A-11R-2039-07,TCGA-93-A4JO-01A-21R-A24X-07,TCGA-69-7974-01A-11R-2187-07,TCGA-99-AA5R-01A-11R-A39D-07,TCGA-50-8457-01A-11R-2326-07,TCGA-44-7659-01A-11R-2066-07,TCGA-44-5645-01A-01R-1628-07,TCGA-44-6146-01A-11R-1755-07,TCGA-55-7574-01A-11R-2039-07,TCGA-44-6147-01A-11R-1755-07,TCGA-97-8552-01A-11R-2403-07,TCGA-J2-A4AE-01A-21R-A24H-07,TCGA-97-A4M5-01A-11R-A24X-07,TCGA-44-6148-01A-11R-1755-07,TCGA-55-6985-01A-11R-1949-07,TCGA-86-8280-01A-11R-2287-07,TCGA-55-8621-01A-11R-2403-07,TCGA-91-6835-01A-11R-1858-07,TCGA-97-7941-01A-11R-2187-07,TCGA-49-AARR-01A-11R-A41B-07,TCGA-97-A4M7-01A-11R-A24X-07,TCGA-38-4626-01A-01R-1206-07,TCGA-55-7816-01A-11R-2170-07,TCGA-78-7540-01A-11R-2066-07,TCGA-97-A4M2-01A-12R-A24X-07
JSRP1,5.8734765287,5.7597976447,5.3176425398,7.0568854142,5.9486359178,4.9446489342,5.1328981447,5.7211140369,5.053828373,6.2670670256,6.7242188237,6.7526039113,5.3592658152,5.3969542536,6.0625945761,5.8361628326,5.3917660542,5.5767853976,5.9674433957,6.2657912967,4.9490050902,5.4535001202,4.9882775961,6.6961678476,5.1602353004,4.8309128341,5.2489724471,5.6493363484,5.4467849645,5.1617858364,4.7699583683,6.5147589971,6.2135013641,5.8580989071,5.2298816377,5.1222484901,5.8408416222,5.828733155,5.7482246153,5.4108834053,5.9478048996,6.4189599104,4.9541345804,6.1957941531,7.0022120713,5.3413271389,5.6131368178,5.3292623763,5.5465625371,6.3339483479,5.8517178278,4.8945049929,5.2272698996,5.4183175248,5.386001674,6.70462669,6.3988864358,5.3777164068,6.0363307097,6.8901734653,6.8688855227,6.6891746218,8.6435525774,7.2532748537,6.3071095217,5.8722454584,8.9059992824,8.3476005306,9.0560133276,5.3621496239,9.4873011438,6.5017261298,8.6710874455,5.3738981043,9.5172659947,8.4370093301,7.9491524295,6.1335236378,7.2450242325,8.342516562,7.4959647523,8.529385392,6.63691376,8.6856097495,5.8121592664,8.55144211,7.8141650715,6.6497148459,8.2188032739,5.2276743906,5.9904717658,5.7870427266,6.5821498496,8.9052064576,7.3328749313,8.6501073099,8.8590417481,8.809253601,6.7503551104,6.5256054769,7.4175513732,7.2653123368,9.0269236298,7.4023200024,5.9575801794,7.5263197903,9.1420261548,5.7514513502,9.5763755374,8.0805713705,7.3240689038,7.9084115845,6.552995214,6.3893688824,5.7332602355,6.2468721838,7.2318081802,6.4175152274,8.271871317,6.040042718,7.1190235018,6.7814507916,8.4063662267,6.4055047322,7.7089105086,6.1983950179,8.8776684904,9.2748647754,7.4150739748,6.1858893513,5.4915219562,7.901217107,7.9432437606,6.1939424838,8.1031885843,6.1997448053,7.0244562336,7.7465685511,8.5466821399,8.0524824202,5.1267232041,6.1959046068,7.8120783318,10.1056276743,5.6727675964,6.2891597863,6.2536347249,7.6820999959
KCNA4,8.1511054354,7.8463001068,6.3651723223,8.6412836204,8.4534423245,7.3390958253,8.0465610642,7.1470977413,7.2442494408,6.409353363,6.2250961798,6.8133523095,8.6983076133,7.1544659433,6.3616166512,4.6635144091,4.3105936118,6.5604200675,7.4972078825,7.1131005383,7.2158496252,8.703123139,8.4055640695,5.0371539915,7.7164243922,8.871514255,7.9073378757,6.7173265602,8.7109492889,7.9842731901,8.0570938269,7.2425300697,6.7879976071,5.1566370288,8.3561528869,8.3365313375,8.3685318755,7.2719208712,8.5265856505,7.7871546273,7.1695934288,6.7840326642,6.0167112293,7.8969809466,5.4887946335,8.9330160088,5.4274140915,8.7287873621,8.6038519711,8.3019230518,8.4116197525,8.5692774233,6.8419575665,6.0413388036,7.1244214313,7.2042309245,6.9099863752,8.1641232944,8.5712960901,5.8784859193,4.5238936404,5.9134592011,4.9667385768,4.9066656047,6.1962321799,5.508431505,4.5241829756,5.2383623989,5.6839429005,5.2076997885,4.8861296313,5.3193905001,5.4285800846,6.9445205181,5.2299430065,5.0986054812,5.1292736591,5.1525742034,5.5895410375,5.2203976568,3.7753563044,4.588293799,5.2969062719,5.1470941706,5.093234473,4.1698948193,6.7782271702,4.2617323063,6.6754029623,5.0673435856,4.8682213061,5.1623718867,5.0465653617,3.7753563044,5.4002367318,4.3638445769,4.8134194648,5.1547224462,4.2184573012,5.6084777328,4.7497793071,5.3761361771,4.3799963338,5.3016961234,5.0523712043,5.9150401388,4.6632635668,4.8021075369,4.5344724309,4.454274767,5.1036124897,4.9091925461,5.5977014552,5.2676119782,4.2288967292,4.9028602296,5.6355902996,3.7753563044,4.3539013547,5.0635384564,4.46333955,4.5901922748,5.1196892287,5.3452860224,5.7397725617,4.8848493733,6.8738117842,5.1960263654,4.4354442411,4.6813870724,5.2923826923,4.2452073908,4.8923585629,4.9676489787,4.8173550771,5.5535971802,7.4806866329,4.2321361649,5.1329840076,6.1892386186,4.9432214934,5.3698328307,5.4279039927,4.5196441357,4.6867405088,10.2336738008,4.9271463414,6.0375306785
KCNA7,4.2502832035,3.7753563044,3.7753563044,4.6710225529,4.4717774118,3.7753563044,3.7753563044,3.7753563044,4.2553964495,3.7753563044,3.7753563044,3.7753563044,4.2351034783,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.2143136131,4.2647669929,4.1154975892,4.6941322994,3.7753563044,4.437136393,3.7753563044,4.2814032464,3.7753563044,4.0887881355,4.553693533,3.7753563044,4.4142877534,3.7753563044,4.2111833671,4.2572736813,3.7753563044,4.3086260749,3.7753563044,4.1594859468,4.4014916623,4.1033500352,4.4001698405,3.7753563044,4.2251132157,3.7753563044,4.3933614962,3.7753563044,4.3357102336,4.1165504915,4.2645083085,4.435864171,4.2947194179,4.3859546053,4.4321342489,4.2519443807,4.2951181315,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.8727151153,4.636576021,4.4237171549,3.7753563044,4.2915973815,4.2112689342,3.7753563044,4.4466001188,5.1506057576,4.5551971549,4.8427996603,3.7753563044,4.172617806,4.5786322586,4.4293128726,4.13200434,4.4159627362,4.4316070342,5.9582015361,4.4831883401,4.3410196306,4.5016312222,4.588293799,4.3531876028,4.0541908373,3.7753563044,4.6470047402,4.3992051859,4.1731031055,4.3611006353,4.1314049124,4.3314979652,4.9964355174,4.3082430514,4.9457770378,4.2672214116,3.7753563044,4.5171175596,5.1547224462,4.3995809787,4.1263277022,5.3040730045,4.6269021494,5.1702708032,4.8786072366,3.7753563044,4.283626672,5.1908341209,4.5583462842,4.6050705391,4.454274767,4.582073637,4.407423352,3.7753563044,4.1767662473,4.3297012938,4.2897923892,4.2633749761,5.1679379301,5.388118656,3.7753563044,3.7753563044,4.5901922748,4.4655066741,4.1994798453,4.7975229808,4.8848493733,4.1651005234,4.2799939464,4.5803810094,3.7753563044,5.6298722034,4.2452073908,4.1559556337,4.476561997,4.5701760096,4.2539720792,4.3293433181,4.7805618364,4.4726875554,4.1607058189,4.7784072023,4.2140335204,4.1642344186,4.4425141954,3.7753563044,4.8268927482,5.4807945326,4.1317566372
KCNH8,5.2225530747,5.8357295751,5.3934420401,5.2822851444,4.8613916969,5.3356458245,5.5889271884,5.3530755321,4.5292651423,6.083705253,4.6041307899,5.298784072,4.8791537385,5.1966287445,4.6085345596,5.3078486599,4.528077844,4.831020447,4.7407643387,5.0127221885,4.830605342,5.2473197173,5.2084929732,5.4442026818,5.0765514622,5.424365959,4.7955482423,6.3249718468,4.7256288117,5.2836050022,5.0195820265,5.0125745263,5.4850968303,4.9822913361,5.5875430221,4.8877069284,5.2929085406,5.9627453687,5.1206423984,4.4001698405,5.5823061093,4.9383767899,5.2718405014,5.7333951803,6.4726159414,5.2985229444,4.6017140972,5.3292623763,4.9860353965,5.0158434359,6.7005184886,5.0576564068,5.084145159,5.0167507447,5.4739857142,5.0540263938,5.8086751252,5.3777164068,5.3857284362,6.4049602897,5.0450748957,4.8074751637,7.4977348718,5.9143003526,5.079216348,7.4258708731,5.3240605278,6.9266772963,6.420572636,7.3322227581,8.5280106279,4.6528790067,7.0374772961,5.0523935904,5.464919476,7.2385581214,5.5843230728,8.8194322001,5.0398136939,5.4234825136,6.5060176074,4.9760089204,7.0836323444,6.2821535602,7.8461902378,7.2856033899,5.0429717652,8.0410257731,7.7882050973,4.6368518738,7.3354340619,6.0033114513,7.0366985043,8.1814021745,7.1800861986,5.4351561572,5.5066086444,7.1850970831,5.5919743865,5.7792183813,7.1845795321,7.0447740664,4.9120179868,6.1364741895,5.362641046,5.4177719239,7.5603177309,6.0177276357,5.3439182999,5.6404264342,4.9877617195,7.0530874074,6.683528986,5.2676119782,7.9681140238,5.9078734705,5.1521169356,7.9789432372,7.1509062951,5.2348382995,6.3500157744,6.991893702,4.9180559791,6.1794449867,5.4818300075,6.1220735903,6.4525413128,6.0827516321,8.4477446007,6.7120177488,7.1193687634,6.5586034295,6.5757965225,6.2162129245,5.8074831859,5.9819002665,7.6077183301,4.9557363938,5.2239436118,5.3376567026,6.8926623928,6.7626893381,6.0576626222,5.4858268511,4.7226954908,5.1986688363,7.9100828118,5.4638585209
KCNJ10,4.9141490149,6.59950727,4.528919385,5.2026514036,5.2075377852,5.2204213473,4.8030850111,4.8018738848,4.7780745729,7.4674326925,4.9323481435,6.5996368262,5.302422182,6.2344565369,5.4108188497,4.9106364213,5.3917660542,5.1806189965,4.9474198796,5.3937945438,4.3117270905,4.707495623,5.1400880296,5.3737366062,5.3785668599,5.2381842699,5.220322047,6.362298864,5.2412945822,4.5547814748,4.7699583683,5.522680311,4.7263661957,4.8821979074,5.3863125158,4.9721979367,4.43684578,5.2553752138,5.0484480832,5.0675406124,5.1276862357,4.5482408949,5.3385944729,4.6429143395,5.3114185654,5.2540346192,4.665967204,4.946826693,5.2058991648,5.5450226972,5.376594535,5.1303053571,5.2272698996,5.9995519377,5.2908073613,4.6276625482,5.5137903902,4.6427190546,4.866967772,6.0147693973,5.6831435407,6.303979133,5.8114626271,7.9687170601,6.4205455111,4.8587828356,9.1227582361,5.0549867821,8.8405445498,5.9287248879,6.1503612735,5.9277659886,7.4891736733,5.3738981043,6.1674719612,8.0296601033,6.5857710521,5.62070068,5.5711340146,6.3822706742,4.2915917482,6.1152164216,5.1209236487,6.0814306401,5.237208958,7.9001132231,6.007795948,5.9429952856,6.7238843334,8.4424983294,5.2285227905,5.5701620782,5.9228708952,6.3210084531,5.7676273743,8.6079682092,7.0824383555,6.8853844244,5.7692899906,5.6343454214,5.9853250102,5.5534957993,5.6836241344,8.2313987479,5.530591127,6.8241158494,7.1036073491,5.0481153314,6.5371047566,8.4042702139,5.2405412767,6.7365457691,5.1038988276,6.3117441128,4.7242320081,5.0363378147,6.6417418333,5.7808526814,5.1494775291,5.3477669597,6.7483819715,6.2489537825,5.5662600891,6.5627820856,7.2088870416,6.6473362224,6.8227379704,6.0827516321,6.1887034367,6.1627632969,4.7302121012,6.9197735355,5.6585658259,5.0284517529,5.5845596389,5.7643207412,5.5164360251,7.0350972732,6.9889918538,6.3769714668,8.9427409806,5.4425106836,5.6013029466,6.6110476353,4.7571586945,8.1403390986,4.6644625841,5.6069090503
KCNK10,3.7753563044,4.2306996865,4.3111986069,4.5104870013,4.4717774118,3.7753563044,4.8966931927,5.0202812792,4.7780745729,4.8369075054,4.3653596594,4.9229906439,4.4228437472,5.0178398101,3.7753563044,4.9106364213,4.528077844,4.3937871797,4.7407643387,4.5290964068,3.7753563044,4.1099294693,4.2453380236,4.3040951538,6.7917728791,4.6000713438,4.5951757236,4.553693533,4.7256288117,4.2289793982,3.7753563044,4.7357721967,4.4537948383,4.485488684,4.5253408144,5.1898858159,4.43684578,4.7542643652,4.3410514205,4.4001698405,3.7753563044,3.7753563044,4.7463884865,5.0541161338,5.0204156312,4.5629889939,4.1165504915,4.2645083085,4.5808889323,4.6655936316,4.2087131686,4.2417555072,4.4463581214,4.6662632984,4.6114098521,4.2721643754,4.7435641152,4.281110744,6.5615396296,6.6686305418,4.4599243266,4.5399980978,4.8935309878,4.6603489218,5.8116911954,8.5733539068,4.771426426,6.4352822764,5.4073329382,4.2613934906,5.3608256771,4.8075769329,6.5442241808,4.2397351473,4.7051856649,8.8897579364,4.6957680647,8.1249309723,4.8787093958,4.7934804815,8.2441454026,6.6642660807,4.0657166548,6.2821535602,6.4849191904,6.7837400952,4.2860343151,4.6954400689,4.7766592919,3.7753563044,3.7753563044,4.7510754367,5.5066337961,5.4184904515,3.7753563044,4.7399651795,4.3524171054,5.3773950691,4.921893518,5.0918612996,5.1605944196,4.7055803364,5.8231047732,5.0182370099,4.3612478586,4.7769274904,4.6632635668,3.7753563044,4.4558639697,5.4300768784,4.9459651019,5.0589036113,4.2088484297,5.0107338361,4.3297012938,5.4250399635,5.2932781257,5.318796688,4.7646563352,4.9133422228,4.7847803839,4.6656805264,4.9494896882,4.7965357711,4.2943931169,4.5693059102,4.9180435209,4.3918627358,4.4354442411,4.764751079,8.5753765128,4.9879561907,5.7163068333,4.476561997,3.7753563044,5.5277967047,5.4805279374,4.4186984324,4.537798483,4.4389224855,5.6542466914,5.6372770757,4.6347848268,4.9556455038,4.6095655737,4.4490868133,7.0334264727,4.7663743966
KCNMB2.AS1,4.4440396124,4.5576909409,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.5779802485,4.2017728137,4.3619499303,4.3518240893,3.7753563044,3.7753563044,3.7753563044,4.7137080031,4.1194305364,3.7753563044,4.3105936118,4.2143136131,4.4642476579,4.5992197122,4.3117270905,4.4401069804,4.2453380236,4.3040951538,4.4874389691,3.7753563044,4.0887881355,4.553693533,4.3305363237,3.7753563044,3.7753563044,4.3081326645,4.2572736813,4.2800036145,4.1535019135,3.7753563044,4.3170167256,4.2198239995,4.2382213505,4.2188784998,4.2407971403,3.7753563044,4.7463884865,4.2140092009,3.7753563044,4.609512621,4.2567664302,4.4638868768,3.7753563044,5.4828033481,4.8180144943,4.3453525401,3.7753563044,4.2951181315,3.7753563044,3.7753563044,4.466281171,4.4870314011,4.8133006232,4.8727151153,7.8659271892,4.356228849,4.6294076654,4.2915973815,4.0841770075,5.8184323922,6.6579327119,3.7753563044,6.1027596911,6.4770635427,4.6236428607,4.400564415,4.138292778,4.3428937825,3.7753563044,4.4159627362,5.4861016053,5.2119284474,4.4225750041,4.6896326719,4.2915917482,3.7753563044,7.7716859438,4.6863739456,3.7753563044,3.7753563044,4.3992051859,3.7753563044,4.3611006353,4.3889809671,3.7753563044,4.796843054,4.0429332378,4.5819404532,4.9530461882,6.4531767963,4.2475610656,5.2029758615,5.4338651536,4.3803148319,4.6501065118,4.318558906,4.3799963338,5.3505705964,4.3612478586,4.3962786968,4.5040548657,4.5583462842,4.1179676049,3.7753563044,6.2225628643,4.407423352,4.2088484297,3.7753563044,3.7753563044,4.1961275168,5.0739469494,4.2844015888,4.1858104082,7.4456397102,3.7753563044,8.1552595693,4.3406274239,4.3730364989,5.0151008389,4.2988258265,3.7753563044,4.2799939464,4.2441260348,6.8741178815,4.7302121012,6.625678928,6.6757193435,4.1828384554,4.4658200538,5.8477424894,4.8641280375,5.1039759109,6.41283615,5.5539910928,4.3972181841,4.74187524,4.9156141161,5.1144368041,4.6491071267,4.2538996379,4.2559352023,6.2006751167
KCNN4,7.7084909791,8.9421841456,9.0846676802,7.9016255756,7.0045074127,7.2511932298,6.5919838657,8.5372208504,6.8292746518,9.5644119571,8.0031125312,8.1800421759,6.1502241077,8.2590981624,7.4315835682,9.9633714206,8.080619532,8.1406172225,7.8266661827,8.788487926,8.0448511902,7.3756132075,6.8845917929,7.1433526724,6.9206969736,7.9321955157,7.5542076015,8.6676560617,6.7929875836,7.2188906834,7.209218159,8.5484694755,7.6037454789,8.7129213831,9.227567784,6.973387102,7.8618216795,7.2841927892,7.7616588403,8.0012394496,8.4934130554,9.5768011639,8.28445378,7.9870510004,9.3614730236,7.6481424957,8.9417645937,7.1986112995,7.4166637404,9.0479291153,9.7501817418,7.598976231,7.7069928021,8.1387094577,7.6540203199,8.3160349617,9.3257460486,8.0294474663,7.3012859367,10.5438680129,10.6219976097,10.7732673233,9.7516995731,11.8499457234,11.2370298493,12.0626238402,10.4178743508,12.0606408203,11.03229189,6.8477972645,12.8817462361,8.6623056708,11.2095190353,9.7190975305,9.5106248911,9.7298304216,12.7327775666,11.3048943033,7.9929946166,12.602169337,12.019808331,11.0049614175,9.9300220725,12.1456845216,11.5932123819,11.696811893,7.7338721255,9.8447986497,10.9877853808,10.3495237358,12.4121003404,11.5677251256,9.7670382311,12.6534843776,10.9335446279,9.7664358684,10.7835351425,12.3888384769,10.8986930849,9.320826393,12.6991339502,11.673034996,10.0982637804,9.872471356,9.5867299757,9.2968469242,12.4624474016,9.3584081187,11.6019155389,9.8009377512,9.724416305,10.2132952447,10.6720595758,10.1234139588,11.4447904806,11.5666500433,10.5307653853,12.9143974747,12.2227109091,10.6509552147,9.5061430205,13.0005771954,8.3858165442,9.2914829785,11.7505205225,13.1514918882,11.5843596354,11.6582475367,11.2669812272,9.5832566999,12.2107731614,10.683759597,9.9195423791,10.4553232969,10.440984616,10.7166234139,11.2809191475,10.5613622301,11.7690564736,9.8024608443,12.1689427997,12.0496346512,8.5782726979,11.2035152735,9.5591876883,8.655451895,12.8532575873,10.3661664849
KCNQ2,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,5.2795104246,4.2427045633,4.3762450764,4.8300718875,4.6781074233,3.7753563044,4.4494043921,4.2351034783,4.6175081504,3.7753563044,4.5042627866,3.7753563044,4.3937871797,4.2647669929,3.7753563044,3.7753563044,4.1099294693,4.437136393,3.7753563044,4.4874389691,4.6000713438,3.7753563044,4.3290189227,4.3305363237,3.7753563044,4.4117568752,4.2111833671,3.7753563044,3.7753563044,4.3086260749,4.4280186751,4.1594859468,4.2198239995,3.7753563044,3.7753563044,4.2407971403,4.2251132157,4.2676963843,3.7753563044,4.4554009614,4.2613914516,3.7753563044,4.2645083085,4.435864171,4.7981466095,3.7753563044,3.7753563044,3.7753563044,4.5065414264,3.7753563044,4.2721643754,5.3342894252,4.281110744,3.7753563044,4.5604251352,5.8095231768,4.1874726088,3.7753563044,4.0744649274,4.0841770075,4.326530867,3.7753563044,3.7753563044,4.4527314474,10.9970561522,4.8071887994,4.0567048719,4.138292778,4.8444954989,4.13200434,4.4159627362,6.6505228092,4.5901584259,4.5900449833,4.2381952305,4.2915917482,5.0948894381,5.9992823221,4.25682648,4.2554483537,3.7753563044,4.2860343151,4.1731031055,4.3611006353,4.7036670258,4.2303726207,4.0892007851,4.5691858646,4.4367335461,3.7753563044,3.7753563044,4.1099972303,4.9357427568,7.8996788805,5.2084281041,4.4707964227,4.9053729374,4.3799963338,4.6177859692,3.7753563044,4.7144984515,5.0126860999,4.8698734282,4.1179676049,4.2576176606,3.7753563044,5.4447877924,5.0398633844,3.7753563044,5.967964643,4.8663777512,4.3716548037,5.4519509097,4.3539013547,4.1436205771,5.3409352099,4.7982454834,4.7027121038,6.3631996815,4.4093637157,4.0786831843,4.5479520657,5.1566121676,3.7753563044,4.3539581565,4.4565861309,5.2724853956,5.5011838561,4.9676489787,3.7753563044,4.2539720792,3.7753563044,5.5047061768,3.7753563044,6.411599122,5.2076232528,5.2374602521,4.1642344186,3.7753563044,4.6491071267,4.5968783124,4.1159586742,4.6376826524
KCNU1,4.2502832035,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.2017728137,3.7753563044,3.7753563044,4.1939947228,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.2552875789,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.0841161596,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.1594859468,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.2676963843,3.7753563044,3.7753563044,4.0568510033,3.7753563044,3.7753563044,3.7753563044,4.6655936316,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,5.4182838319,3.7753563044,3.7753563044,4.5502361942,3.7753563044,3.7753563044,4.4527314474,4.0568521916,3.7753563044,4.6528790067,3.7753563044,4.2397351473,3.7753563044,6.7358954363,3.7753563044,4.0868266987,3.7753563044,4.1033314476,3.7753563044,4.3539399262,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.3889809671,3.7753563044,3.7753563044,4.0429332378,3.7753563044,4.2672214116,4.6020303259,5.557188304,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,7.0331086534,3.7753563044,5.4447877924,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.2947659469,6.7825871431,3.7753563044,4.3406274239,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.1858509721,3.7753563044,3.7753563044,4.1559556337,3.7753563044,3.7753563044,6.5756351742,4.723633159,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.1642344186,3.7753563044,4.1525697137,4.1145094526,3.7753563044,5.1517846425
