"feature_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","type"
"PCLAF",768.406241720804,2.97365589932747,0.14247681773357,20.8711560703733,9.79364855318683e-97,2.26176581508045e-94,"Up regulated"
"EME1",191.288184720573,2.90587069416284,0.139307943280844,20.859332395028,1.2540984453403e-96,2.86607217099413e-94,"Up regulated"
"ZFPM2.AS1",167.459417011543,5.53137293654409,0.265317669617291,20.8481136764199,1.58550746089133e-96,3.60468818012699e-94,"Up regulated"
"NME1",2758.30833847196,2.32943259066209,0.111829717399283,20.8301750629036,2.30616684412112e-96,5.21609767799951e-94,"Up regulated"
"MKI67",3379.67830055923,3.24573255978618,0.156064581034974,20.797368232186,4.5721779569344e-96,1.02358467638941e-93,"Up regulated"
"CDCA5",1004.06795627048,3.12731785204955,0.150642515910913,20.7598620690787,9.98528558930837e-96,2.21285023420839e-93,"Up regulated"
"RMI2",671.55824130509,2.39631717900595,0.115440934030706,20.7579503676621,1.03904702801543e-95,2.29107259006478e-93,"Up regulated"
"PPP1R14D",602.663960196596,6.12537753076533,0.296631387024972,20.6497956679469,9.80335768360532e-95,2.1190223241326e-92,"Up regulated"
"EFNA4",878.967749485464,2.25052747244116,0.109001422071196,20.6467716629532,1.04365204293566e-94,2.24482392117518e-92,"Up regulated"
"FEZF1.AS1",334.811659779338,6.17346239037816,0.299187385444433,20.6340998675719,1.35647388619655e-94,2.90344964158139e-92,"Up regulated"
"ESPL1",661.799319742109,3.27774620088827,0.159085044611112,20.6037356239287,2.54068120682871e-94,5.38563046736411e-92,"Up regulated"
"C17orf53",291.79180229788,2.8903085931244,0.140420785732247,20.5831962700708,3.88219783026695e-94,8.11175993306112e-92,"Up regulated"
"CCNA2",906.975537727615,3.05530649546029,0.148442802482925,20.5823821994451,3.94795078212028e-94,8.21005366676093e-92,"Up regulated"
"GPT2",3192.24061188677,3.53167289644263,0.171654212043618,20.5743445173674,4.65987098905053e-94,9.59955301072995e-92,"Up regulated"
"ENSG00000255624",44.1962876417301,3.91204806987873,0.191043618621617,20.4772506828766,3.435076554072e-93,6.91411578514337e-91,"Up regulated"
"RASAL1",491.664585641944,4.07339429702607,0.199704776603272,20.3970799612778,1.77503589088122e-92,3.4770892792847e-90,"Up regulated"
