gene_ids,log2FoldChange
SCAT8,2.8244520057
IGHA1,2.5239950873
ERFE,2.7526036959
GPT,2.4171770158
HOXC10,5.1214368824
ENSG00000260963,5.8347444465
ENSG00000233221,4.1928453994
ENSG00000253616,2.1235196979
IGHV3.76,3.2161524398
HNF1A,3.9300121108
IGHJ1,3.4051615915
ITGA11,2.2139851705
GTF2IP7,2.49118128
CIT,2.3637701415
KRT15,2.6527510692
IGKV3OR2.268,2.8035246816
LINC02678,3.371014055
IGHV1OR21.1,3.1047429912
IGHE,3.2634873641
IGKV1.5,2.624899474
ENSG00000248538,3.417887519
LINC01597,3.67607524
MOGAT2,3.4232356255
IGHV3OR16.13,2.8668298577
IGKV3D.15,3.0020169015
IGLV1.50,2.772833596
TNFRSF18,2.0941223499
ENSG00000257443,3.2829987618
IGHV3OR16.8,2.8622455279
ENSG00000267073,5.2091632022
IGLV6.57,2.8325746247
FGF11,2.3018568967
COL6A4P2,2.2086648401
ITGB2.AS1,2.1190452597
ENSG00000278912,4.5729120791
TMEM82,4.4119436275
ANKRD40CL,5.0666257267
LINC02086,3.5798019576
IGHV1.58,3.0719485355
IGKV3D.7,4.0099702854
IGHV1.67,2.7976832975
HNF4A,4.183379698
CPXM1,2.0324089078
RTBDN,4.1024519739
IGHV3OR16.9,2.7819266104
ENSG00000232884,3.0208651619
ENSG00000281179,4.4747965209
PCMTD1P3,3.4260146751
MELTF,2.3040266924
BEAN1,2.1513945705
IGHV1.14,3.105468676
MAP7D2,2.6406365487
IGLL1,3.2428992958
TMEM238L,5.3840447445
HOTAIR,5.8481011665
ENSG00000267077,2.0328460889
KRT20,5.9211004964
IGHV3.13,3.0463880289
RAET1L,4.8218326176
WFDC3,2.5696074549
IGLV2.8,2.6805565404
SPP2,4.5394993769
POU2AF1,2.1507030916
BRDT,4.7168309099
UGT8,2.4427701044
RTN4RL2,2.2906628882
LCT,3.8547836955
MZB1,2.2952257216
LINC02473,3.7437530906
IGHV3.62,2.8455082677
CDH3,2.2406451131
PAX7,6.3064066095
CNFN,2.0974078822
ENSG00000218274,4.158727022
ENSG00000262884,2.2470344959
IGKV1.27,2.6790195445
SLC25A48,3.9062502573
IGHV3.19,2.6917090592
IGHV1OR16.1,3.4251476987
LINC02544,2.8522466061
LINC00461,3.895540507
PTGES,2.0026809601
CASC16,4.0736083122
GDA,4.1202895927
ENSG00000261104,3.06026692
PDE11A,2.5641574683
FCRL2,2.3847513921
ENSG00000224585,3.2889474673
MMP3,3.1896621424
YWHAEP7,3.1332012867
FAM83B,3.6195083226
RPSAP52,4.1951037306
CLDN10,3.3138138752
IGHV1.2,2.8176277718
ENSG00000270977,2.6710525959
SOX11,3.7749359888
IGHV4.28,2.4859274007
IGHV3.22,2.9812320068
ENSG00000258760,2.4663761668
ENSG00000272763,4.0291603898
CPHL1P,3.1927931487
IGHV3.64,3.1889955857
IGLV3.12,3.048361121
ENSG00000279806,3.3711972879
IGLV2.28,2.7699008696
ENSG00000279427,2.63840362
ENSG00000272328,4.2570485454
IGLV1.47,2.5047583567
MYBPC2,2.2817107943
IGHV3OR16.6,2.9735007198
RNF186,4.0006130261
ENSG00000253525,2.7775574384
ENSG00000278399,3.3620054922
IGKV1D.16,2.8203184086
B3GALT5.AS1,3.9814193751
STEAP1,2.0023584475
IGKV1D.39,3.4097878207
IGHV1.18,2.6182110874
IGKV3.20,2.4331215285
CASP1P2,2.4346944631
IGLV4.60,3.2054401952
NTSR1,4.0165820911
IGHV3.30,2.4364938011
IGHV3.75,3.1382574998
ENSG00000278876,2.0076692553
CYP2C9,3.3843917879
IGHJ3,2.5184468333
IGHV3.53,2.5343905859
IGHV4.61,2.6848274301
ENSG00000225489,2.1798453056
LINC01460,2.824226092
ENSG00000090932,4.1591279262
SP8,4.917457951
IL17REL,3.0173865266
LGALS9C,2.9915526228
RUFY4,2.3597712265
ENSG00000259680,2.8182452036
ENSG00000263711,4.3962800868
ENSG00000105696,3.4126940017
ENSG00000230882,2.5607240394
GREB1,2.3602760596
SOX21,3.4068698456
IGLV3.1,2.5748972504
IGHV3OR16.10,2.9941930626
HHIPL2,3.4300728622
LINC01979,2.6167269056
SULT1C2,2.4370903515
MCIDAS,2.3222723667
IGKV1OR22.5,3.0755896517
IGHV3.47,2.525059743
ENSG00000253339,3.4834854901
ENSG00000220154,3.7299975208
NRK,2.9815760854
IGKV1OR2.11,3.3348089514
SPINK13,3.2812825397
ENSG00000254558,4.0049502267
HSD17B2,3.2471705986
FAM3D,2.9924573615
FAM131C,3.2235556075
HMGA2,3.9620469008
CRYGN,2.7262775851
SLC16A9,2.7728729267
CNTD2,2.5413392503
IGKV1D.27,3.3478655349
HORMAD1,3.5118883247
ENSG00000271375,2.8798495248
SALRNA1,2.9555489158
LINGO1,2.2982573276
CYP27C1,2.5218384145
ANK1,2.336417603
TMEM132E,2.1537233168
C6orf141,2.2082842853
POF1B,2.5855280237
IGHV3OR16.15,2.7882536772
ENSG00000272954,2.5374276074
AKR1B15,3.9603416914
GNGT1,4.1859127305
IGHV3.60,2.6222701443
IGHV3.42,3.0792556598
CCDC185,3.4444542032
IGLC3,2.3425642607
ENSG00000278263,2.7172172714
IGLV3.32,3.6786384739
IGHV2.70,2.7341053065
BCL2L10,2.9813828864
KRT89P,2.5745216672
SLC28A2,4.0536769335
HPDL,2.3118821766
IGHV7.27,3.0164736069
CALML6,2.5372775105
LCN2,2.6846158502
APCDD1L,2.9157147875
NELL1,4.5912386575
ENSG00000261116,3.3153655487
CHRNA5,2.2330205588
HOXB13,5.2269975821
ENSG00000225680,4.0047419359
CLDN2,3.696366449
ENSG00000255545,3.1889209257
ENSG00000280114,3.7013997567
NARF.AS1,2.1611875583
IGHV1.69D,2.6219392574
PPIAP45,3.2057494011
ENSG00000255050,2.392436518
LRRIQ4,2.4305404706
MOGAT3,5.267023877
